"link";"titulo";"preco";"cidade";"bairro";"adicional";"tem_quarto";"tem_area";"tem_taxa";"tem_garagem";"qtd_quarto";"taxa_condominio";"area_condominio";"cep";"garagem";"ender_completo_cep";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-2-quartos-rua-sao-francisco-xavier-tijuca-268722102";"Apartamento 2 quartos- rua são francisco xavier - tijuca";1500;"Rio de Janeiro";" São Francisco Xavier";" 2 quarto | 72 m² | Condomínio: RS 480 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;480;72;"20550018";1;"Rua São Francisco Xavier, 20550018, São Francisco Xavier, Rio de Janeiro, RJ";-22,9169834759678;-43,226311508363
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/locacao-apartamento-em-ipanema-2-quartos-com-dependencias-260739611";"Locação-Apartamento em Ipanema, 2 quartos com dependências";3300;"Rio de Janeiro";" Ipanema";" 2 quarto | 61 m² | Condomínio: RS 645 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;645;61;"22411030";1;"Rua Alberto de Campos, 22411030, Ipanema, Rio de Janeiro, RJ";-22,9806522117833;-43,2027919662197
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/70-268717402";"70";950;"Rio de Janeiro";" Abolição";" 3 quarto | 70 m² | Condomínio: RS 260 | 1 vaga";TRUE;TRUE;TRUE;TRUE;3;260;70;"20751010";1;"Rua Silva Xavier, 20751010, Abolição, Rio de Janeiro, RJ";-22,8833188369251;-43,3022387783544
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-em-copacabana-267030354";"Cobertura em Copacabana";2300;"Rio de Janeiro";" Copacabana";" 1 quarto | 147 m² | Condomínio: RS 155";TRUE;TRUE;TRUE;FALSE;1;155;147;"22081025";NA;"Rua Júlio de Castilhos, 22081025, Copacabana, Rio de Janeiro, RJ";-22,9835949721536;-43,1909023387252
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-bangu-268716086";"Apartamento Bangu";900;"Rio de Janeiro";" Bangu";" 2 quarto | 54 m² | 1 vaga";TRUE;TRUE;FALSE;TRUE;2;NA;54;"21863000";1;"Avenida Brasil, 21863000, Bangu, Rio de Janeiro, RJ";-22,8550891523451;-43,4915230332445
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/copacabana-imbativel-268709368";"Copacabana imbativel";6500;"Rio de Janeiro";" Copacabana";" 3 quarto | 320 m² | Condomínio: RS 0 | 1 vaga";TRUE;TRUE;TRUE;TRUE;3;0;320;"22050011";1;"Rua Domingos Ferreira, 22050011, Copacabana, Rio de Janeiro, RJ";-22,972998909601;-43,1871935216388
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-mobiliado-em-jacarepagua-3km-do-parque-olimpico-praias-shoppings-254181769";"Apartamento Mobiliado em Jacarepaguá 3km do Parque Olímpico, Praias, Shoppings";2450;"Rio de Janeiro";" Humaitá";" 2 quarto | 75 m² | Condomínio: RS 650 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;650;75;"22261000";1;"Rua do Humaitá, 22261000, Humaitá, Rio de Janeiro, RJ";-22,9591569312191;-43,200818041994
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-quarto-e-sala-em-copacabana-263288104";"Excelente quarto e sala em Copacabana";1700;"Rio de Janeiro";" Copacabana";" 1 quarto | 42 m² | Condomínio: RS 580";TRUE;TRUE;TRUE;FALSE;1;580;42;"22080001";NA;"Rua Raul Pompéia, 22080001, Copacabana, Rio de Janeiro, RJ";-22,983099229529;-43,1917618181095
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/gago-coutinho-com-vista-para-a-montanha-1-quarto-c-mais-1-quarto-que-foi-revertido-extra-268706798";"Gago Coutinho, com vista para a montanha 1 quarto c/ mais 1 quarto que foi revertido extra";1850;"Rio de Janeiro";" Laranjeiras";" 1 quarto | 55 m² | Condomínio: RS 700";TRUE;TRUE;TRUE;FALSE;1;700;55;"22221070";NA;"Rua Gago Coutinho, 22221070, Laranjeiras, Rio de Janeiro, RJ";-22,9311286039769;-43,1801206470298
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apt-2-qt-jardim-icarai-cond-barato-proximo-ao-polo-gastronomico-268703992";"Apt, 2 qt, Jardim Icaraí, cond. barato, próximo ao pólo gastronômico";1300;"Niterói";" Icaraí";" 2 quarto | 56 m² | Condomínio: RS 200";TRUE;TRUE;TRUE;FALSE;2;200;56;"24220110";NA;"Rua Cinco de Julho, 24220110, Icaraí, Niterói, RJ";-22,9038610164235;-43,1039118688088
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-no-centro-268703629";"Apartamento No Centro";1200;"Rio de Janeiro";" Centro";" 1 quarto";TRUE;FALSE;FALSE;FALSE;1;NA;NA;"20230160";NA;"Rua Tenente Possolo, 20230160, Centro, Rio de Janeiro, RJ";-22,9112765666474;-43,1903221943933
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-botafogo-240762965";"Aluguel Botafogo";2800;"Rio de Janeiro";" Bonsucesso";" 2 quarto | 180 m² | Condomínio: RS 800 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;800;180;"21040320";1;"Rua de Bonsucesso, 21040320, Bonsucesso, Rio de Janeiro, RJ";-22,8629831653501;-43,2539667265653
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/1-qto-mobiliado-reformado-com-servicos-pq-das-rosas-b-193355986";"1 Qto Mobiliado Reformado com Serviços - Pq das Rosas B";2100;"Rio de Janeiro";" Barra da Tijuca";" 1 quarto | 68 m² | Condomínio: RS 1100 | 1 vaga";TRUE;TRUE;TRUE;TRUE;1;1100;68;"22631370";1;"Avenida Marechal Henrique Lott, 22631370, Barra da Tijuca, Rio de Janeiro, RJ";-23,0016594869833;-43,3494849776279
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-apto-85m-2-qts-com-terraco-no-melhor-recanto-do-grajau-rua-canavieiras-238707995";"Alugo apto 85m² 2 qts, com terraço, no melhor recanto do Grajaú - Rua Canavieiras";2290;"Rio de Janeiro";" Grajaú";" 2 quarto | 85 m² | Condomínio: RS 400 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;400;85;"20561000";1;"Rua Canavieiras, 20561000, Grajaú, Rio de Janeiro, RJ";-22,9227671865569;-43,2672853336807
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/maravilhoso-apto-tipo-casa-c-garagem-p-1-ou-2-carros-268699713";"Maravilhoso Apto tipo Casa c/ Garagem p/ 1 ou 2 carros";2000;"Rio de Janeiro";" Campo Grande";" 4 quarto | 170 m² | 2 vagas";TRUE;TRUE;FALSE;TRUE;4;NA;170;"23085660";2;"Estrada das Capoeiras, 23085660, Campo Grande, Rio de Janeiro, RJ";-22,8930417205077;-43,5595918673239
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apto-sao-goncalo-268695370";"Apto São Gonçalo";NA;"Rio de Janeiro";" Pechincha";" 2 quarto | 1 vaga";TRUE;FALSE;FALSE;TRUE;2;NA;NA;"22740300";1;"Rua Ana Silva, 22740300, Pechincha, Rio de Janeiro, RJ";-22,9220554800474;-43,3511704720962
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-terceiro-andar-250794881";"Apartamento terceiro andar";800;"Rio de Janeiro";" Realengo";" 2 quarto | 90 m² | Condomínio: RS 25 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;25;90;"21715080";1;"Rua Nepomuceno, 21715080, Realengo, Rio de Janeiro, RJ";-22,882251959625;-43,4383418113457
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/ipanema-coberturinha-para-locacao-1-quarto-2-varandas-ponto-nobre-linda-vista-268692877";"Ipanema Coberturinha para Locação 1 quarto 2 varandas Ponto Nobre Linda Vista";2600;"Rio de Janeiro";" Ipanema";" 1 quarto | 60 m² | Condomínio: RS 400";TRUE;TRUE;TRUE;FALSE;1;400;60;"22410003";NA;"Rua Visconde de Pirajá, 22410003, Ipanema, Rio de Janeiro, RJ";-22,9849673047463;-43,205717837595
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-apartamento-em-bras-de-pina-268691672";"Alugo apartamento em Bras de Pina";900;"Rio de Janeiro";" Braz De Pina";" 2 quarto";TRUE;FALSE;FALSE;FALSE;2;NA;NA;"21011150";NA;"Rua Boa Viagem, 21011150, Braz de Pina, Rio de Janeiro, RJ";-22,8285522268491;-43,2861588259627
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-apartamento-taquara-268690142";"Aluguel apartamento Taquara";700;"Rio de Janeiro";" Anil";" 3 quarto | 60 m² | Condomínio: RS 300 | 1 vaga";TRUE;TRUE;TRUE;TRUE;3;300;60;"22765390";1;"Rua Soldado Álvaro de Sousa Pereira, 22765390, Anil, Rio de Janeiro, RJ";-22,9566319941614;-43,341180540968
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-248044880";"Apartamento";500;"Rio de Janeiro";" Bangu";" 1 quarto";TRUE;FALSE;FALSE;FALSE;1;NA;NA;"21825360";NA;"Rua Hélio de Carvalho Araújo, 21825360, Bangu, Rio de Janeiro, RJ";-22,8965959370943;-43,471798387647
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/tomaz-coelho-otimo-apt-02-quartos-01-vaga-de-garagem-portaria-24-hs-268690036";"Tomaz Coelho Ótimo apt° 02 quartos, 01 vaga de garagem, Portaria 24 HS";800;"Rio de Janeiro";" Tomás Coelho";" 2 quarto | Condomínio: RS 209 | 1 vaga";TRUE;FALSE;TRUE;TRUE;2;209;NA;"20750340";1;"Rua Moacir de Almeida, 20750340, Tomás Coelho, Rio de Janeiro, RJ";-22,8689168145502;-43,3043893197708
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-2-quartos-localizado-em-frente-ao-shopping-tijuca-em-vila-e-rua-sem-saida-265487990";"Apartamento 2 quartos localizado em frente ao Shopping Tijuca, em vila e rua sem saída";2100;"Rio de Janeiro";" Vila Isabel";" 2 quarto | 80 m² | Condomínio: RS 0";TRUE;TRUE;TRUE;FALSE;2;0;80;"20511080";NA;"Rua Padre Champagnat, 20511080, Vila Isabel, Rio de Janeiro, RJ";-22,919718689098;-43,2356252118022
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-na-barra-da-tijuca-2-quartos-sendo-um-suite-254392587";"Apartamento na Barra da Tijuca, 2 quartos, sendo um suíte";2400;"Rio de Janeiro";" Barra da Tijuca";" 2 quarto | 85 m² | Condomínio: RS 1050 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;1050;85;"22631390";1;"Rua Ipanema, 22631390, Barra da Tijuca, Rio de Janeiro, RJ";-23,0003669683574;-43,3604340575922
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-2-quartos-copacabana-243233495";"Apartamento 2 quartos copacabana";2200;"Rio de Janeiro";" Copacabana";" 2 quarto | 67 m² | Condomínio: RS 600";TRUE;TRUE;TRUE;FALSE;2;600;67;"22051002";NA;"Rua Barata Ribeiro, 22051002, Copacabana, Rio de Janeiro, RJ";-22,9718224707214;-43,1908122586113
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/tomaz-coelho-otimo-apt-em-frente-a-estacao-de-trem-02-quartos-1-vaga-de-garagem-268684621";"Tomaz Coelho Ótimo apt° Em Frente a Estação de Trem, 02 quartos, 1 vaga de garagem";900;"Rio de Janeiro";" Tomás Coelho";" 2 quarto | Condomínio: RS 209 | 1 vaga";TRUE;FALSE;TRUE;TRUE;2;209;NA;"20750340";1;"Rua Moacir de Almeida, 20750340, Tomás Coelho, Rio de Janeiro, RJ";-22,8688916512509;-43,3038599533585
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-madureira-247450486";"Apartamento Madureira";1000;"Rio de Janeiro";" Madureira";" 2 quarto | 70 m² | Condomínio: RS 200";TRUE;TRUE;TRUE;FALSE;2;200;70;"21351021";NA;"Rua Carolina Machado, 21351021, Madureira, Rio de Janeiro, RJ";-22,8761790943605;-43,3384648202379
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apto-3-quartos-alto-da-boa-vista-268323243";"APTO 3 quartos alto da Boa Vista";1400;"Rio de Janeiro";" Alto da Boa Vista";" 3 quarto | 76 m² | Condomínio: RS 575 | 1 vaga";TRUE;TRUE;TRUE;TRUE;3;575;76;"20531350";1;"Praça Martins Leão, 20531350, Alto da Boa Vista, Rio de Janeiro, RJ";-22,9697326727673;-43,2973121285881
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-oportunidade-268680350";"Excelente Oportunidade";4900;"Rio de Janeiro";" Leblon";" 3 quarto | 100 m² | Condomínio: RS 1380 | 1 vaga";TRUE;TRUE;TRUE;TRUE;3;1380;100;"22430130";1;"Rua Professor Sabóia Ribeiro, 22430130, Leblon, Rio de Janeiro, RJ";-22,9816841444203;-43,2192427283967
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apto-quarto-e-sala-ampla-area-de-servico-em-st-teresa-sem-garagem-268678860";"Apto quarto e sala ampla área de serviço em stª Teresa sem garagem";1900;"Rio de Janeiro";" Botafogo";" 1 quarto | 59 m² | Condomínio: RS 105";TRUE;TRUE;TRUE;FALSE;1;105;59;"22251020";NA;"Rua Mundo Novo, 22251020, Botafogo, Rio de Janeiro, RJ";-22,9427151181643;-43,1892944429504
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-conjugado-em-santissimo-1-andar-1-mes-de-deposito-268677917";"Excelente conjugado em Santíssimo 1ª andar, 1 mês de deposito";500;"Rio de Janeiro";" Campo Grande";" 1 quarto";TRUE;FALSE;FALSE;FALSE;1;NA;NA;"23085660";NA;"Estrada das Capoeiras, 23085660, Campo Grande, Rio de Janeiro, RJ";-22,8916655612279;-43,5591750185928
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/urgente-mobiliado-perto-de-tudo-248781174";"Urgente Mobiliado Perto de Tudo";1400;"Rio de Janeiro";" Pechincha";" 2 quarto | 68 m² | Condomínio: RS 515 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;515;68;"22743070";1;"Rua Olímpia do Couto, 22743070, Pechincha, Rio de Janeiro, RJ";-22,9336176215278;-43,3519626682147
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/magnifica-cobertura-duplex-com-excelente-localizacao-no-centro-de-campo-grande-4-qts-268675092";"Magnífica cobertura Duplex com excelente localização no centro de Campo Grande - 4 qts";2000;"Rio de Janeiro";" Campo Grande";" 4 quarto | Condomínio: RS 1100";TRUE;FALSE;TRUE;FALSE;4;1100;NA;"23085660";NA;"Estrada das Capoeiras, 23085660, Campo Grande, Rio de Janeiro, RJ";-22,8921012715545;-43,5589332176256
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/2qtosbemlocalizadonomeier-254654838";"2qtosbemlocalizadonomeier";1100;"Rio de Janeiro";" Méier";" 2 quarto | 70 m² | Condomínio: RS 490 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;490;70;"20725232";1;"Rua Pedro de Carvalho, 20725232, Méier, Rio de Janeiro, RJ";-22,9077564521317;-43,2883619268647
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/otimo-apartamento-com-2-quartos-praca-seca-268673511";"Ótimo apartamento com 2 quartos - Praça Seca";800;"Rio de Janeiro";" Pc Seca";" 2 quarto | 56 m² | Condomínio: RS 198 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;198;56;"22733010";1;"Rua Albano, 22733010, Praça Seca, Rio de Janeiro, RJ";-22,9038575181048;-43,3544144815754
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/jardim-europa-2-quartos-com-armarios-268672349";"Jardim Europa. 2 quartos com armários";1500;"Rio de Janeiro";" Campo Grande";" 2 quarto | 75 m² | Condomínio: RS 362 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;362;75;"23045160";1;"Rua Olinda Ellis, 23045160, Campo Grande, Rio de Janeiro, RJ";-22,9127693264463;-43,5553716838863
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/amplo-quarto-e-sala-ao-lado-rio-sul-219906766";"Amplo Quarto e Sala ao lado Rio Sul";2700;"Rio de Janeiro";" Botafogo";" 1 quarto | 70 m² | Condomínio: RS 370";TRUE;TRUE;TRUE;FALSE;1;370;70;"22290160";NA;"Rua Lauro Muller, 22290160, Botafogo, Rio de Janeiro, RJ";-22,95489296474;-43,1746156346427
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/bom-apartamento-no-bairro-amazonas-em-c-g-com-cond-incluso-268671197";"Bom apartamento no Bairro Amazonas em C.G.  Com cond. incluso";770;"Rio de Janeiro";" Campo Grande";" 2 quarto";TRUE;FALSE;FALSE;FALSE;2;NA;NA;"23085660";NA;"Estrada das Capoeiras, 23085660, Campo Grande, Rio de Janeiro, RJ";-22,8928601473027;-43,5590347087174
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/lindo-apartamento-2-quartos-praca-seca-268669935";"Lindo apartamento 2 quartos - Praça Seca";1000;"Rio de Janeiro";" Pc Seca";" 2 quarto | 46 m² | Condomínio: RS 319 | 1 vaga";TRUE;TRUE;TRUE;TRUE;2;319;46;"21321052";1;"Rua Florianópolis, 21321052, Praça Seca, Rio de Janeiro, RJ";-22,8988882103878;-43,3564871977629
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/imperdivel-amplo-apt-nos-coqueiros-todo-reformado-ja-com-cond-incluso-02qts-268669581";"Imperdível amplo apt. Nos Coqueiros,todo reformado já com cond. incluso 02qts";800;"Rio de Janeiro";" Campo Grande";" 2 quarto";TRUE;FALSE;FALSE;FALSE;2;NA;NA;"23085660";NA;"Estrada das Capoeiras, 23085660, Campo Grande, Rio de Janeiro, RJ";-22,8928357987434;-43,5593223325482
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/conjugado-no-flamengo-268667800";"Conjugado no Flamengo";1500;"Rio de Janeiro";" Laranjeiras";" 1 quarto | Condomínio: RS 430";TRUE;FALSE;TRUE;FALSE;1;430;NA;"22240006";NA;"Rua das Laranjeiras, 22240006, Laranjeiras, Rio de Janeiro, RJ";-22,9390593199642;-43,191766972342
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-conjugado-paralelo-mal-floriano-no-centro-150-porto-maravilha-265821782";"Excelente conjugado paralelo Mal Floriano no Centro &#150; Porto Maravilha";1250;"Rio de Janeiro";" Centro";" 1 quarto | 44 m² | Condomínio: RS 268";TRUE;TRUE;TRUE;FALSE;1;268;44;"20080070";NA;"Rua Leandro Martins, 20080070, Centro, Rio de Janeiro, RJ";-22,9010672258627;-43,1838669898572
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apt-c-boa-localizacao-na-est-daposse-cond-incluso-268667926";"Apt. C/boa localização na Est.daPosse-Cond.Incluso";950;"Rio de Janeiro";" Campo Grande";" 2 quarto";TRUE;FALSE;FALSE;FALSE;2;NA;NA;"23085660";NA;"Estrada das Capoeiras, 23085660, Campo Grande, Rio de Janeiro, RJ";-22,8925444410779;-43,5592611725113
