"link";"titulo";"preco";"cidade";"bairro";"cep";"endereco_completo";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/oportunidade-no-engenho-novo-1-quarto-268551811";"Oportunidade no Engenho Novo 1 Quarto";750;"Rio de Janeiro";" Engenho Novo";20710280;"Rua Condessa Belmonte, 20710280, Engenho Novo, Rio de Janeiro, RJ";-22,9087826462244;-43,2714007785979
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-kitnets-268550116";"Alugo kitnets";500;"Rio de Janeiro";" Flamengo";22230040;"Rua Fernando Osório, 22230040, Flamengo, Rio de Janeiro, RJ";-22,9358387700889;-43,1764076591447
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-equipado-p-vagas-metro-s-pena-250m-todos-os-direitos-266676832";"Quarto Equipado P/Vagas - Metrô S Pena (250m) - Todos os Direitos";330;"Rio de Janeiro";" Tijuca";20511240;"Rua Pinto de Figueiredo, 20511240, Tijuca, Rio de Janeiro, RJ";-22,9243958933447;-43,2355951701089
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-para-mocas-que-trabalhem-fora-fica-no-pechincha-r-450-00-mensais-mais-1-2-da-luz-268539233";"Quarto para moças que trabalhem fora. Fica no Pechincha. R 450,00 mensais mais 1/2 da luz";450;"Rio de Janeiro";" Taquara";22770640;"Rua Oswaldo Lussac, 22770640, Taquara, Rio de Janeiro, RJ";-22,9398064962646;-43,3623647934669
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/para-estudantes-moca-vaga-em-residencia-praca-saens-pena-metro-a-200m-265331246";"Para Estudantes ( Moça) Vaga em Residência : Praça Saens Pena (Metrô a 200m)";330;"Rio de Janeiro";" Tijuca";20511240;"Rua Pinto de Figueiredo, 20511240, Tijuca, Rio de Janeiro, RJ";-22,9244737774082;-43,2362512758813
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/kitinetes-em-sepetiba-sem-fiador-nem-deposito-242529872";"Kitinetes em Sepetiba sem fiador nem depósito";340;"Rio de Janeiro";" Campo Grande";23070180;"Rua Tapes, 23070180, Campo Grande, Rio de Janeiro, RJ";-22,9026065593112;-43,5707787101884
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-para-mocas-em-niteroi-268521374";"Quarto para moças em niterói";500;"Niterói";" Centro";24030079;"Rua Visconde do Uruguai, 24030079, Centro, Niterói, RJ";-22,8873333064151;-43,1224076319402
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/olimpiada-2016-146950020";"Olimpíada 2016";1500;"Rio de Janeiro";" Ipanema";22410003;"Rua Visconde de Pirajá, 22410003, Ipanema, Rio de Janeiro, RJ";-22,9837127026837;-43,2042814813683
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-individual-268510361";"Quarto individual";750;"Rio de Janeiro";" Urca";22290180;"Rua Doutor Xavier Sigaud, 22290180, Urca, Rio de Janeiro, RJ";-22,953629573314;-43,1742198070757
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-em-condominio-p-moca-tijuca-264265565";"Quarto em condominio p/moça/tijuca";600;"Rio de Janeiro";" Maracanã";20271060;"Rua Professor Gabizo, 20271060, Tijuca, Rio de Janeiro, RJ";-22,916902136035;-43,2198348618939
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-para-rapazes-bento-ribeiro-268477680";"Quarto para rapazes (Bento Ribeiro)";NA;"Rio de Janeiro";" Bento Ribeiro";21550490;"Rua José de Queiros, 21550490, Bento Ribeiro, Rio de Janeiro, RJ";-22,8633953529811;-43,3583342034076
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/disponho-de-otimo-quitinete-muito-ventilado-com-muitas-janelas-com-varanda-otimo-luga-268475368";"Disponho de ótimo quitinete ,muito,ventilado,com muitas janelas , com varanda, ótimo luga";680;"Rio de Janeiro";" Higienópolis";21050710;"Rua Arvoredo, 21050710, Higienópolis, Rio de Janeiro, RJ";-22,8753538438735;-43,2632692838607
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-em-copacabana-268461127";"Quarto em Copacabana";NA;"Rio de Janeiro";" Copacabana";22020040;"Rua Rodolfo Dantas, 22020040, Copacabana, Rio de Janeiro, RJ";-22,9659039441296;-43,1784312736541
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/divido-apartamento-de-quarto-e-sala-wi-fi-cabo-900-reais-268458157";"Divido apartamento de quarto e sala.wi-fi.cabo. 900 reais";900;"Rio de Janeiro";" Copacabana";22031071;"Rua Siqueira Campos, 22031071, Copacabana, Rio de Janeiro, RJ";-22,9657988177179;-43,1873794439919
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-individual-e-ou-para-vagas-para-mocas-no-inga-268451612";"Quarto individual e/ou para vagas para moças no Ingá";650;"Niterói";" Ingá";24210510;"Rua Tiradentes, 24210510, Ingá, Niterói, RJ";-22,9017211761186;-43,1250483033559
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-em-copacabana-mensal-263318332";"Quarto em Copacabana - Mensal";900;"Rio de Janeiro";" Copacabana";22020001;"Avenida Nossa Senhora de Copacabana, 22020001, Copacabana, Rio de Janeiro, RJ";-22,9697776249908;-43,1849678743526
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quartos-individuais-disponiveis-255503387";"Quartos individuais disponíveis";1120;"Rio de Janeiro";" Recreio Dos Bandeirantes";22795455;"Rua Luiz Paulistano, 22795455, Recreio dos Bandeirantes, Rio de Janeiro, RJ";-23,0219447260803;-43,4737744723545
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/kitnet-268409073";"Kitnet";350;"Rio de Janeiro";" Honório Gurgel";21511190;"Rua Cajatuba, 21511190, Honório Gurgel, Rio de Janeiro, RJ";-22,8447328988341;-43,3594650750797
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/divido-ou-alugo-268407404";"Divido ou Alugo";500;"Rio de Janeiro";" Bonsucesso";21042590;"Rua Pedro Torres, 21042590, Bonsucesso, Rio de Janeiro, RJ";-22,8597156486423;-43,2423896897294
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vagas-universitario-268390006";"Vagas universitario";450;"Rio de Janeiro";" Rio Comprido";20261004;"Rua Aureliano Portugal, 20261004, Rio Comprido, Rio de Janeiro, RJ";-22,9251300918954;-43,2148410303655
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vagas-para-rapazes-em-copacabana-quarto-compartilhado-268374653";"Vagas Para Rapazes em Copacabana | Quarto compartilhado";500;"Rio de Janeiro";" Copacabana";22071100;"Rua Sá Ferreira, 22071100, Copacabana, Rio de Janeiro, RJ";-22,9811014592377;-43,1932758026084
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/loja-na-estrada-cabucu-proximo-prezunic-268367427";"Loja na estrada cabuçu próximo prezunic";1500;"Rio de Janeiro";" Campo Grande";23052350;"Rua Henri Dunant, 23052350, Campo Grande, Rio de Janeiro, RJ";-22,9063503828792;-43,5484269932156
